time_s,Ax_mg,Ay_mg,Az_mg,Aabs_mg,Roll_deg,Pitch_deg
1.01,-1010.821,162.132,-197.16,1042.554,140.57,75.83
1.03,-987.803,167.136,-192.156,1020.104,138.98,75.54
1.06,-995.809,176.143,-189.154,1028.806,137.04,75.45
1.09,-987.803,174.141,-159.129,1015.579,132.42,76.57
1.12,-996.81,176.143,-174.141,1027.123,134.67,76.05
1.15,-991.806,169.137,-176.143,1021.427,137.76,75.82
1.17,-983.799,184.15,-186.151,1018.049,135.31,75.1
1.2,-978.795,187.152,-167.136,1010.446,131.77,75.62
1.23,-986.802,197.16,-153.124,1017.888,127.83,75.8
1.26,-991.806,206.168,-159.129,1025.43,127.66,75.29
1.29,-974.792,180.146,-157.128,1003.674,131.1,76.22
1.31,-990.805,176.143,-168.137,1020.29,133.67,76.19
1.34,-972.79,171.139,-174.141,1002.963,134.51,75.56
1.37,-967.786,185.15,-172.14,1000.262,131.38,75.7
1.4,-965.785,187.152,-162.132,997.022,130.9,75.62
1.43,-978.795,201.163,-166.135,1012.97,129.55,75.07
1.46,-972.79,205.167,-155.126,1006.22,127.09,75.19
1.48,-970.789,197.16,-156.127,1002.835,129.39,75.88
1.51,-994.808,191.155,-146.119,1023.491,127.39,76.4
1.54,-992.807,193.157,-152.124,1022.798,128.22,76.09
1.57,-995.809,201.163,-193.157,1034.124,133.84,74.35
1.59,-997.811,210.171,-206.168,1040.338,134.45,73.56
1.62,-989.804,201.163,-178.145,1025.629,131.53,74.81
1.65,-994.808,197.16,-170.138,1028.33,130.79,75.33
1.68,-1007.819,186.151,-175.142,1039.724,132.98,76.55
1.71,-984.8,174.141,-158.128,1012.502,132.24,76.57
1.73,-997.811,188.153,-178.145,1030.904,133.43,75.44
1.76,-992.807,181.147,-185.15,1026.041,135.63,75.38
1.79,-991.806,176.143,-171.139,1021.76,134.17,76.09
1.82,-996.81,196.159,-187.152,1033.022,133.65,74.78
1.85,-991.806,190.155,-192.156,1027.989,135.3,74.75
1.87,-984.8,163.133,-213.173,1020.728,144.85,75.21
1.9,-973.791,159.129,-225.183,1012.076,142.07,75.11
1.93,-958.779,178.145,-194.158,994.329,137.46,74.63
1.96,-979.796,185.15,-198.161,1016.636,136.94,74.53
1.99,-964.784,181.147,-168.137,995.938,132.87,75.63
2.01,-970.789,174.141,-241.196,1015.348,149.32,73.87
2.04,-962.782,172.14,-240.195,1007.112,144.37,72.94
2.07,-939.764,180.146,-212.172,980.115,139.67,73.5
2.1,-986.802,149.121,-241.196,1026.738,148.27,73.97
2.13,-976.794,145.118,-208.169,1009.217,145.12,75.44
2.15,-986.802,178.145,-169.137,1016.917,133.51,76.02
2.18,-984.8,189.154,-175.142,1017.981,132.8,75.33
2.21,-984.8,198.161,-190.155,1022.379,136.7,73.85
