time_s,Ax_mg,Ay_mg,Az_mg,Aabs_mg,Roll_deg,Pitch_deg
1.01,-993.807,166.135,-17.014,1007.742,95.85,80.46
1.03,-992.807,202.164,-36.029,1013.821,100.11,78.31
1.06,-985.801,202.164,-70.057,1008.753,105.7,75.5
1.09,-948.771,206.168,-55.045,972.472,104.95,77.32
1.12,-966.785,187.152,-111.09,990.98,120.69,77.31
1.15,-981.798,170.138,-65.053,998.552,110.92,79.49
1.17,-968.787,147.12,-73.059,982.614,116.41,80.38
1.2,-1006.818,179.146,-152.124,1033.885,130.34,76.86
1.23,-1004.816,183.149,-105.085,1026.763,119.85,78.13
1.26,-979.796,185.15,-52.042,998.494,105.15,78.51
1.29,-1013.824,211.172,-63.051,1037.501,103.59,77.9
1.31,-1002.815,197.16,-32.026,1022.514,99.23,78.74
1.34,-975.793,190.155,-88.072,998.042,114.85,77.88
1.37,-1022.831,134.109,-118.096,1038.323,131.37,80.09
1.4,-1012.823,136.111,-125.102,1029.557,113.01,78.6
1.43,-992.807,174.141,-14.011,1008.061,94.6,80.02
1.45,-1002.815,170.138,-57.046,1018.744,108.54,79.85
1.48,-989.804,154.125,-91.074,1005.864,120.58,79.75
1.51,-1020.829,141.115,-85.069,1034.042,121.08,80.83
1.54,-1001.814,176.143,-50.041,1018.411,105.86,79.64
1.57,-996.81,184.15,-46.037,1014.722,104.04,79.22
1.59,-975.793,214.174,-42.034,999.905,101.58,77.89
1.62,-1030.838,165.134,-106.086,1049.357,128.23,78.47
1.65,-1023.832,142.115,-103.084,1038.776,125.96,80.27
1.68,-1000.813,176.143,-65.053,1018.276,110.27,79.37
1.7,-1012.823,229.186,-50.041,1039.635,102.32,76.96
1.73,-1011.822,238.194,-47.038,1040.544,114.19,78.57
1.76,-1001.814,148.12,-71.058,1015.195,115.63,80.69
1.79,-997.811,228.185,-34.028,1024.135,98.48,76.98
1.82,-979.796,220.179,-27.022,1004.594,97,77.24
1.85,-978.795,209.17,-77.063,1003.858,110.22,77.17
1.87,-976.794,138.112,-152.124,998.169,137.76,78.12
1.9,-983.799,200.163,-50.041,1005.202,104.04,78.16
1.93,-983.799,199.162,-14.011,1003.854,94.11,78.83
1.96,-980.797,208.169,-50.041,1003.893,114.55,76.87
1.98,-969.788,204.166,-114.093,997.592,119.2,76.44
2.01,-972.79,174.141,-120.098,995.525,124.59,77.73
2.04,-975.793,213.173,-69.056,1001.191,107.95,77.07
2.07,-1003.816,243.198,-27.022,1033.209,88.38,76.38
2.1,-959.78,233.189,-48.039,988.869,101.64,76.07
2.12,-951.773,252.205,-106.086,990.32,112.81,73.96
2.15,-1024.833,207.168,-95.077,1049.876,114.65,77.46
2.18,-980.797,175.142,-114.093,1002.823,123.08,77.97
2.21,-1042.847,181.147,-68.055,1060.649,110.59,79.49
2.24,-1038.844,197.16,-60.049,1059.092,106.94,78.78
2.26,-1008.82,170.138,-89.072,1026.936,114.31,77.83
2.29,-1002.815,212.172,-56.046,1026.546,107.05,77.52
