time_s,Ax_mg,Ay_mg,Az_mg,Aabs_mg,Roll_deg,Pitch_deg
1.01,-968.787,200.163,-119.097,996.392,120.75,76.48
1.03,-993.807,223.181,-72.059,1021.105,107.89,76.72
1.06,-987.803,200.163,-75.061,1010.67,110.56,77.79
1.09,-977.794,185.15,-85.069,998.799,111.85,78.34
1.12,-977.794,196.159,-81.066,1000.566,112.45,77.75
1.15,-972.79,205.167,-80.065,997.409,111.32,77.24
1.17,-965.785,218.177,-100.081,995.167,114.64,76.04
1.2,-969.788,212.172,-115.094,999.376,118.48,76.02
1.23,-976.794,196.159,-102.083,1001.511,117.49,77.24
1.26,-983.799,199.162,-88.072,1007.613,113.86,77.52
1.29,-986.802,205.167,-73.059,1010.549,109.78,77.66
1.31,-1001.814,201.163,-37.03,1022.482,104.24,78.3
1.34,-1002.815,189.154,-80.065,1023.634,112.94,78.42
1.37,-998.812,162.132,-111.09,1017.965,124.42,78.87
1.4,-1003.816,175.142,-98.08,1023.69,119.25,78.69
1.42,-1012.823,189.154,-80.065,1033.441,115.84,78.19
1.45,-1008.82,193.157,-102.083,1032.205,117.86,77.78
1.48,-1012.823,195.159,-115.094,1037.855,120.53,77.39
1.51,-1014.825,186.151,-99.081,1036.503,118.02,78.26
1.54,-1014.825,189.154,-82.067,1035.559,113.45,78.52
1.57,-1008.82,196.159,-65.053,1029.771,108.35,78.42
1.59,-1002.815,198.161,-63.051,1024.149,107.65,78.28
1.62,-1006.818,176.143,-94.076,1026.43,119.37,79.1
1.65,-984.8,167.136,-89.072,1002.846,119.11,79.01
1.68,-990.805,177.144,-82.067,1009.856,114.86,78.85
1.7,-988.803,207.168,-60.049,1012.056,106.16,77.69
1.73,-998.812,209.17,-64.052,1022.487,107.03,77.65
1.76,-991.806,213.173,-130.106,1022.765,123.29,76.43
1.79,-977.794,194.158,-117.095,1003.738,121.09,76.94
1.82,-981.798,200.163,-104.085,1007.385,117.47,77.06
1.85,-978.795,188.153,-82.067,1000.088,113.57,78.16
1.87,-986.802,196.159,-83.067,1009.533,112.95,77.82
1.9,-987.803,196.159,-91.074,1011.201,114.9,77.65
1.93,-986.802,194.158,-91.074,1009.836,115.13,77.74
1.96,-985.801,193.157,-84.068,1008.058,111.99,77.37
1.98,-998.812,218.177,-62.05,1024.244,104.65,77.28
2.01,-998.812,229.186,-54.044,1026.193,103.27,76.73
2.04,-995.809,221.18,-79.064,1023.136,109.67,76.73
2.07,-996.81,204.166,-74.06,1020.195,109.94,77.71
2.1,-994.808,197.16,-111.09,1020.224,117.97,76.56
2.12,-992.807,208.169,-97.079,1019.031,115,76.97
2.15,-996.81,206.168,-102.083,1023.013,116.34,77
2.18,-988.803,205.167,-105.085,1015.317,117.12,76.88
2.21,-993.807,214.174,-92.075,1020.785,113.26,76.8
2.24,-992.807,227.185,-61.05,1020.297,105.04,76.67
2.26,-1004.816,223.181,-89.072,1033.15,111.76,76.55
2.29,-1000.813,216.176,-87.071,1027.589,109.28,77.85
2.32,-999.812,199.162,-76.062,1022.289,110.9,77.96
2.35,-998.812,200.163,-78.063,1021.657,111.31,77.86
2.37,-980.797,212.172,-75.061,1006.287,109.48,77.08
2.4,-980.797,210.171,-91.074,1007.189,113.43,76.85
2.43,-973.791,206.168,-144.117,1005.755,125.62,75.7
2.46,-966.785,204.166,-121.098,995.501,120.67,76.2
2.49,-973.791,205.167,-99.081,1000.09,115.78,76.83
2.51,-978.795,211.172,-56.046,1002.883,104.86,77.42
2.54,-982.799,201.163,-76.062,1006.054,110.71,77.66
2.57,-974.792,188.153,-120.098,1000.022,122.55,77.1
2.6,-971.79,196.159,-110.089,997.483,119.3,76.97
2.63,-973.791,212.172,-94.076,1001.068,114.61,75.62
2.65,-989.804,221.18,-84.068,1017.694,110.81,76.56
2.68,-993.807,227.185,-78.063,1022.428,108.96,76.41
2.71,-995.809,205.167,-103.084,1021.937,116.68,77.02
2.74,-990.805,194.158,-113.092,1015.963,120.22,77.22
2.77,-999.812,186.151,-126.102,1024.782,124.11,77.33
2.79,-1002.815,192.156,-100.081,1025.952,117.51,77.81
2.82,-1006.818,211.172,-73.059,1031.316,107.9,76.72
2.85,-1011.822,229.186,-54.044,1038.86,106.77,76.69
2.88,-1015.825,193.157,-96.078,1038.48,116.45,78.01
2.91,-1002.815,208.169,-77.063,1027.088,110.31,77.52
2.93,-1011.822,221.18,-63.051,1037.632,105.91,77.19
2.96,-1011.822,229.186,-61.05,1039.248,111.27,76.33
2.99,-992.807,221.18,-97.079,1021.768,113.7,76.33
3.02,-986.802,205.167,-103.084,1013.162,116.68,76.9
3.05,-983.799,177.144,-108.088,1005.447,121.39,78.09
3.07,-981.798,177.144,-105.085,1003.17,120.68,78.15
3.1,-991.806,196.159,-95.077,1015.479,115.86,77.6
3.13,-981.798,204.166,-85.069,1006.403,112.62,77.3
3.16,-998.812,219.178,-82.067,1025.865,112.91,78.08
3.18,-996.81,185.15,-110.089,1019.819,118.63,78.05
3.21,-982.799,189.154,-93.076,1005.154,116.2,77.89
3.24,-982.799,223.181,-94.076,1012.202,112.86,76.16
3.27,-979.796,240.195,-110.089,1014.797,114.62,74.91
3.3,-976.794,244.198,-115.094,1013.413,113.58,75.13
3.32,-975.793,227.185,-94.076,1006.298,112.49,75.86
3.35,-986.802,215.175,-92.075,1014.177,113.17,76.66
3.38,-991.806,193.157,-98.08,1015.189,116.92,77.68
3.41,-997.811,185.15,-106.086,1020.373,119.81,77.93
3.44,-998.812,187.152,-100.081,1021.11,118.14,78
3.46,-996.81,199.162,-99.081,1021.329,116.45,77.42
3.49,-1002.815,213.173,-104.085,1030.492,115.1,76.27
3.52,-1000.813,229.186,-97.079,1031.299,114.63,75.86
3.55,-1002.815,231.188,-98.08,1033.782,112.99,75.94
3.58,-999.812,226.184,-109.089,1030.866,115.75,75.9
3.6,-999.812,215.175,-109.089,1028.506,116.88,76.43
3.63,-1002.815,206.168,-112.091,1029.906,119.62,77.34
3.66,-1004.816,197.16,-99.081,1028.759,116.68,77.61
3.69,-1002.815,201.163,-90.073,1026.751,114.12,77.6
3.72,-993.807,214.174,-103.084,1021.837,115.7,76.55
3.74,-989.804,211.172,-98.08,1016.821,114.91,76.76
3.77,-984.8,203.165,-91.074,1009.654,114.15,77.26
3.8,-983.799,211.172,-79.064,1009.309,110.53,77.09
3.83,-979.796,219.178,-75.061,1006.814,119.77,75.79
3.86,-969.788,210.171,-116.094,999.069,118.92,76.09
3.88,-969.788,199.162,-108.088,995.91,118.49,76.85
3.91,-971.79,196.159,-93.076,995.749,115.38,77.41
3.94,-971.79,193.157,-90.073,994.886,115,77.63
3.97,-972.79,187.152,-108.088,996.509,119.1,77.15
3.99,-974.792,202.164,-110.089,1001.603,118.57,76.71
4.02,-970.789,206.168,-100.081,997.473,115.89,76.72
4.05,-975.793,202.164,-75.061,999.338,110.37,77.54
4.08,-987.803,190.155,-76.062,1008.81,111.8,78.29
