time_s,Ax_mg,Ay_mg,Az_mg,Aabs_mg,Roll_deg,Pitch_deg
1.01,-1015.825,121.098,-23.019,1023.277,100.76,83.08
1.03,-1013.824,117.095,-22.018,1020.801,100.65,83.3
1.06,-1012.823,108.088,-31.025,1019.046,106.02,83.66
1.09,-1008.82,116.094,-32.026,1015.983,105.42,83.19
1.12,-1011.822,115.094,-25.02,1018.654,102.69,83.52
1.15,-1003.816,112.091,-39.032,1010.809,105.95,83.38
1.17,-1010.821,111.09,-27.022,1017.266,103.67,83.55
1.2,-1011.822,119.097,-30.024,1019.249,104.15,83.08
1.23,-1008.82,118.096,-33.027,1016.245,105.62,83.07
1.26,-1011.822,114.093,-31.025,1018.707,104.84,83.19
1.29,-1014.825,115.094,-22.018,1021.567,100.83,83.41
1.31,-1013.824,115.094,-24.02,1020.618,101.79,83.38
1.34,-1012.823,115.094,-24.02,1019.624,101.79,83.38
1.37,-1014.825,114.093,-26.021,1021.549,102.85,83.42
1.4,-1011.822,110.089,-25.02,1018.101,102.8,83.63
1.43,-1011.822,113.092,-22.018,1018.361,101.02,83.5
1.45,-1013.824,111.09,-26.021,1020.224,103.3,83.58
1.48,-1011.822,110.089,-25.02,1018.101,102.8,83.63
1.51,-1010.821,113.092,-23.019,1017.389,101.5,83.49
1.54,-1009.82,119.097,-22.018,1017.058,100.47,83.16
1.57,-1007.819,112.091,-20.016,1014.231,100.12,83.55
1.59,-1004.816,116.094,-46.037,1012.548,111.63,82.93
1.62,-1011.822,110.089,-36.029,1018.431,108.12,83.47
1.65,-1013.824,114.093,-30.024,1020.665,104.74,83.36
1.68,-1016.826,117.095,7.006,1023.57,95.37,83.4
1.7,-1014.825,115.094,-23.019,1021.59,101.31,83.4
1.73,-1014.825,113.092,-23.019,1021.366,101.5,83.51
1.76,-1014.825,118.096,-24.02,1021.955,101.5,83.23
1.79,-1013.824,120.098,-22.018,1021.15,107.57,82.82
1.82,-1005.817,123.1,-28.023,1013.71,102.82,82.85
1.85,-1011.822,114.093,-22.018,1018.472,100.92,83.45
1.87,-1013.824,113.092,-29.024,1020.525,104.39,83.43
1.9,-1013.824,118.096,-25.02,1020.985,101.96,83.21
1.93,-1010.821,109.089,-25.02,1016.999,102.92,83.68
1.96,-1010.821,114.093,-29.024,1017.654,104.27,83.36
