time_s,pressure_Pa
0,1022.09
0.102,1019.98
0.205,1013.67
0.303,1019.98
0.405,1010.52
0.504,1015.78
0.606,1006.31
0.709,1022.09
0.807,1006.31
0.909,1015.78
1.008,1010.52
1.11,1013.67
1.212,1004.2
1.311,1010.52
1.413,1008.41
1.511,1013.67
1.614,1002.1
1.716,1013.67
1.815,998.94
1.917,1010.52
2.015,1004.2
2.118,1008.41
2.221,1004.2
2.318,1008.41
2.421,1004.2
2.523,1010.52
2.621,1002.1
2.724,1002.1
2.822,998.94
2.924,1004.2
3.023,996.84
3.125,1002.1
3.223,996.84
3.326,1002.1
3.428,996.84
3.531,1002.1
3.629,994.73
3.727,998.94
3.83,996.84
3.932,996.84
4.03,994.73
4.133,994.73
4.231,994.73
4.333,996.84
4.436,988.42
4.534,988.42
4.637,994.73
4.735,990.53
4.837,992.63
4.94,988.42
5.039,994.73
5.14,985.27
5.239,990.53
5.341,983.16
5.443,983.16
5.542,990.53
5.644,983.16
5.742,985.27
5.845,983.16
5.947,988.42
6.045,981.06
6.148,988.42
6.246,978.95
6.348,985.27
6.447,978.95
6.549,983.16
6.652,983.16
6.75,976.85
6.852,983.16
6.951,976.85
7.053,983.16
7.155,976.85
7.254,981.06
7.356,974.75
7.454,981.06
7.557,974.75
7.659,981.06
7.757,974.75
7.86,978.95
7.958,974.75
8.061,978.95
8.163,972.64
8.261,976.85
8.364,970.54
8.462,974.75
8.564,970.54
8.667,974.75
8.765,968.43
8.868,972.64
8.966,970.54
9.068,974.75
9.17,968.43
9.269,974.75
9.371,968.43
9.47,974.75
9.572,968.43
9.67,970.54
9.773,966.33
9.875,972.64
9.974,968.43
10.076,972.64
10.174,968.43
10.276,970.54
10.379,972.64
10.477,964.22
10.579,972.64
10.678,966.33
10.78,968.43
10.882,964.22
10.981,961.07
11.083,970.54
11.182,964.22
11.284,970.54
11.386,964.22
11.485,968.43
11.587,964.22
11.685,970.54
11.788,964.22
11.89,968.43
11.988,966.33
12.091,968.43
12.189,964.22
12.291,968.43
12.394,961.07
12.492,968.43
12.595,964.22
12.693,970.54
12.795,964.22
12.898,970.54
12.996,966.33
13.098,968.43
13.197,961.07
13.299,966.33
13.397,958.96
13.5,964.22
13.602,956.86
13.701,958.96
13.803,952.65
13.901,956.86
14.004,950.55
14.106,956.86
14.204,950.55
14.307,954.76
14.405,950.55
14.507,954.76
14.61,950.55
14.708,956.86
14.811,948.44
14.909,956.86
15.011,950.55
15.114,956.86
15.212,948.44
15.315,956.86
15.413,950.55
15.515,956.86
15.617,950.55
15.716,956.86
15.818,948.44
15.916,954.76
16.019,950.55
16.121,954.76
16.22,948.44
16.322,956.86
16.42,950.55
16.523,956.86
16.621,956.86
16.723,950.55
16.826,956.86
16.925,952.65
17.026,956.86
17.125,950.55
17.227,958.96
17.329,950.55
17.428,958.96
17.53,952.65
17.628,958.96
17.731,952.65
17.833,958.96
17.932,950.55
18.034,958.96
18.132,952.65
18.235,954.76
18.337,950.55
18.435,956.86
18.538,950.55
18.636,954.76
18.738,950.55
18.841,954.76
18.939,948.44
19.041,954.76
19.14,946.34
19.242,952.65
19.345,952.65
19.443,952.65
19.545,946.34
19.644,952.65
19.746,948.44
19.844,950.55
19.947,948.44
20.049,952.65
20.147,944.24
20.25,948.44
20.348,944.24
20.45,952.65
20.555,948.44
20.651,952.65
20.753,942.13
20.852,954.76
20.954,948.44
21.057,954.76
21.155,948.44
21.257,954.76
21.357,948.44
21.458,952.65
21.56,946.34
21.659,952.65
21.761,948.44
21.859,952.65
21.962,946.34
22.064,948.44
22.163,948.44
22.265,950.55
22.363,952.65
22.466,946.34
22.568,950.55
22.666,946.34
22.769,952.65
22.867,948.44
22.969,952.65
23.072,946.34
23.17,952.65
23.272,946.34
23.371,954.76
23.473,944.24
